all_reproducible,best_full_success,decision_step,full_gap_present,full_indistinguishable,full_top_candidate,ideal_proxy_spearman,ideal_top_candidate,ideal_top_full_success,legal,proxy_indistinguishable,proxy_regret,proxy_top_candidate,proxy_wrong_beyond_tolerance,reason,root_id,task_id
False,1.0,0,True,False,0,-0.261904761904762,6,0.0,True,False,0.1436802364972678,2,False,,2000,1
False,1.0,125,False,True,0,0.07142857142857144,1,1.0,True,False,1.3789072759896825,0,True,,2001,2
False,,125,,,,-0.2142857142857143,3,,True,False,0.10324545600948909,7,False,,2002,3
False,,125,,,,0.5000000000000001,1,,True,False,0.0,1,False,,2003,4
False,1.0,0,True,False,3,-0.19047619047619052,6,0.0,True,False,0.16305961899912802,4,False,,2004,5
False,,125,,,,0.3571428571428572,5,,True,False,0.15007231286722345,7,False,,2005,1
False,1.0,0,False,False,0,0.2380952380952381,4,1.0,True,False,0.0,4,False,,2006,2
False,0.0,250,False,True,0,0.2142857142857143,2,0.0,True,False,0.20123794573994758,1,False,,2007,3
False,0.0,250,False,True,0,0.5714285714285715,4,0.0,True,False,0.0,4,False,,2008,4
False,0.0,250,False,True,0,-0.14285714285714288,0,0.0,True,False,0.3278170199171626,2,False,,2009,5
False,1.0,0,False,False,2,0.19047619047619052,2,1.0,True,False,0.22110707302610422,1,False,,2010,1
False,,0,,,,-0.2380952380952381,3,,True,False,0.43265868114957584,1,False,,2011,2
False,1.0,250,True,False,4,0.11904761904761905,2,0.0,True,False,0.1091078824645706,3,False,,2012,3
False,,125,,,,0.30952380952380953,5,,True,False,0.28622136290363187,1,False,,2013,4
,,,,,,,,,False,,,,,prefix_terminated,2014,5
,,,,,,,,,False,,,,,prefix_terminated,2015,1
True,,0,,,,0.6666666666666669,0,,True,False,0.0,0,False,,2016,2
False,,0,,,,0.261904761904762,6,,True,False,0.18464466689991355,4,False,,2017,3
False,0.0,250,False,True,0,-0.09523809523809526,2,0.0,True,False,0.1330473330691646,6,False,,2018,4
False,,0,,,,0.38095238095238104,5,,True,False,0.0,5,False,,2019,5
False,,0,,,,0.14285714285714288,3,,True,False,0.0,3,False,,2020,1
True,,0,,,,0.2142857142857143,5,,True,False,0.035631653862452595,1,False,,2021,2
False,,0,,,,0.2142857142857143,7,,True,False,1.501775173023617,3,True,,2022,3
False,,250,,,,-0.38095238095238104,7,,True,False,0.9420766948256727,4,True,,2023,4
False,,125,,,,0.38095238095238104,0,,True,False,0.842527905002882,6,True,,2024,5
False,0.0,125,False,True,0,0.1666666666666667,6,0.0,True,False,0.0,6,False,,2025,1
False,,125,,,,0.1666666666666667,2,,True,False,0.1180466317128861,5,False,,2026,2
False,1.0,125,False,True,0,0.4047619047619048,6,1.0,True,False,0.0,6,False,,2027,3
False,0.0,250,False,True,0,-0.11904761904761905,2,0.0,True,False,0.6344770651523959,1,True,,2028,4
False,1.0,125,False,True,0,-0.4047619047619048,2,1.0,True,False,0.04294517597470815,5,False,,2029,5
False,,0,,,,-0.523809523809524,2,,True,False,0.48183631297195006,6,False,,2030,1
False,,0,,,,0.523809523809524,2,,True,False,0.28335544898067155,5,False,,2031,2
