all_reproducible,best_full_success,full_distinguishable,full_gap_present,ideal_proxy_spearman,ideal_top_full_success,legal,proxy_regret,proxy_wrong_beyond_tolerance,reason,root_id,task_id
True,0.0,False,False,0.7619047619047621,0.0,True,0.8975389413671877,True,,3000,1
False,0.0,False,False,-0.3571428571428572,0.0,True,0.23190322471564428,True,,3001,2
True,,,,-0.14285714285714288,,True,0.2626374307350545,True,,3002,3
False,,,,0.7380952380952381,,True,0.0,False,,3003,4
True,0.0,False,False,-0.7380952380952381,0.0,True,0.004632622885601734,False,,3004,5
True,,,,0.19047619047619052,,True,0.12993836062362618,False,,3005,1
True,,,,-0.2380952380952381,,True,0.0,False,,3006,2
True,0.0,False,False,-0.6190476190476191,0.0,True,0.42680351017277474,True,,3007,3
False,,,,0.7857142857142858,,True,0.02855756253362074,False,,3008,4
True,,,,-0.7142857142857144,,True,0.0025974612263723884,False,,3009,5
False,,,,-0.3333333333333334,,True,0.03189508254516227,True,,3010,1
False,,,,-0.3571428571428572,,True,0.4243293920772686,True,,3011,2
False,,,,0.28571428571428575,,True,0.6070441017531039,True,,3012,3
False,0.0,False,False,0.5714285714285715,0.0,True,0.12951391514388888,False,,3013,4
True,0.0,False,False,0.8095238095238096,0.0,True,0.7168847875245632,True,,3014,5
,,,,,,False,,,prefix_terminated,3015,1
,,,,,,False,,,prefix_terminated,3016,2
False,0.0,False,False,0.7142857142857144,0.0,True,1.0419011928233317,True,,3017,3
False,,,,-0.7380952380952381,,True,0.47961613661644265,True,,3018,4
True,,,,-0.9523809523809524,,True,0.37946151435676256,True,,3019,5
True,,,,0.7380952380952381,,True,0.42156142711116473,True,,3020,1
False,0.0,False,False,0.9761904761904763,0.0,True,0.0,False,,3021,2
False,,,,-0.5000000000000001,,True,0.27922708183595546,True,,3022,3
False,0.0,False,False,0.5952380952380953,0.0,True,0.1558621845394157,False,,3023,4
True,0.0,False,False,0.9047619047619048,0.0,True,0.015838709098289883,False,,3024,5
True,,,,-0.14285714285714288,,True,0.06409489517835709,False,,3025,1
True,0.0,False,False,-0.09523809523809526,0.0,True,0.36049569411721905,True,,3026,2
,,,,,,False,,,prefix_terminated,3027,3
True,0.0,False,False,-0.880952380952381,0.0,True,0.12373492668910302,False,,3028,4
True,0.0,False,False,0.11904761904761905,0.0,True,0.03925939300543746,False,,3029,5
False,,,,-0.9047619047619048,,True,1.5880391821047795,True,,3030,1
False,0.0,False,False,0.261904761904762,0.0,True,0.0,False,,3031,2
